0    "НОРМАЛЬНОЕ ЗАВЕРШЕНИЕ"
1    "ОШИБКА ПРИ ОБРАЩЕНИИ К ФАЙЛУ МОДЕЛИ"
2    "ОШИБКА ПРИ ЧТЕНИИ ФАЙЛА МОДЕЛИ"
3    "НЕТ ПАМЯТИ !"
4    "МОДЕЛЬ НЕ ТЕСТИРОВАНА"
5    "МОДЕЛЬ НЕ ЗАГРУЖЕНА"
6    "НЕТ СЦЕНАРИЯ"
7    "ОБРАЩЕНИЕ К НЕСУЩЕСТВУЮЩЕЙ ЦЕЛИ"
8    "ЦЕЛИ ПРИСВАИВАЕТСЯ ЗНАЧЕНИЕ ВНЕ ДОПУСТИМОГО ДИАПАЗОНА"
9    "МОДЕЛЬ НЕКОРРЕКТНА"
10   "ДЕЙСТВИЕ ВОЗВРАТ: ОШИБКА ПРИ ОТКРЫТИИ ФАЙЛА ДЛЯ ЗАПИСИ ДАННЫХ"
11   "ДЕЙСТВИЕ ВОЗВРАТ: ОШИБКА ПРИ ЗАПИСИ В ФАЙЛ"
12   "ОБРАЩЕНИЕ К НЕСУЩЕСТВУЮЩЕМУ ПРЕДЛОЖЕНИЮ СЦЕНАРИЯ"
13   "ВЫПОЛНЕНО 1000 ПРЕДЛОЖЕНИЙ СЦЕНАРИЯ! Esc - СТОП, Enter - ПРОДОЛЖИТЬ"
14   "НЕСООТВЕТСТВИЕ ТИПОВ: '%s' НЕ ПЕРЕДАЕТСЯ В ПОДМОДЕЛЬ"
15   "ЗАПИСЬ КОНТРОЛЬНОЙ ТОЧКИ: ОШИБКА ВВОДА-ВЫВОДА"
16   "ЦИКЛ: ЦЕЛЬ '%s' ОПРЕДЕЛЕНА ЧЕРЕЗ САМУ СЕБЯ"
17   "НАРУШЕНА ЦЕПОЧКА ПОДМОДЕЛЕЙ"
18   "ЧТЕНИЕ КОНТРОЛЬНОЙ ТОЧКИ: ОШИБКА ВВОДА-ВЫВОДА"
19   "ЧТЕНИЕ КОНТРОЛЬНОЙ ТОЧКИ: ВЫЯВЛЕНО НЕСООТВЕТСТВИЕ МОДЕЛИ"
20   "СЛОЖНЫЙ ВОПРОС О ЧИСЛОВОМ АТРИБУТЕ НЕДОПУСТИМ"
21   "СТЕК ПЕРЕПОЛНЕН"
22   "НЕКОРРЕКТНОЕ АРИФМЕТИЧЕСКОЕ ВЫРАЖЕНИЕ В МОДЕЛИ"
23   "СИСТЕМНАЯ ОШИБКА"
24   "ОШИБКА ВВОДА-ВЫВОДА"
25   "НЕДОПУСТИМОЕ ЗНАЧЕНИЕ АРГУМЕНТА ПРИ ОБРАЩЕНИИ К ФУНКЦИИ %s - ВОЗВРАЩАЕТСЯ 0"
26   "НЕДОПУСТИМО ДЕЛЕНИЕ НА 0 - РЕЗУЛЬТАТ ПРИНИМАЕТСЯ РАВНЫМ 0"
27   "СОКРАЩЕНО ИМЯ:"
28   "<ЕЩЕ НЕ ВЫВЕДЕНO>"
29   "<НЕ УДАЛОСЬ ВЫВЕСТИ>"
30   "EHELP ^x exp_lst.pic"
100  "ЗНАЧЕНИЕ НЕ ВЫВЕДЕНО"
101  "значение которой будет использовано правилом %s"
102  "НЕ УДАЛОСЬ ВЫВЕСТИ"
103  "ЕЩЕ НЕ ВЫВЕДЕНА"
104  "ОШИБКА"
105  "МОДЕЛЬ С ЭТИМ ИМЕНЕМ УЖЕ СУЩЕСТВУЕТ"
200  "НЕ СОХРАНЕНА ПРЕДЫДУЩАЯ ЗАДАЧА"
201  "ОШИБКА ПРИ ЗАПИСИ ФАЙЛА МОДЕЛИ"
212  " Да\ Скорее всего\ Возможно\ Да или нет\ Наверное нет\ Маловерoятно\ Нет\"
213  "%s %s"
214  "Цель '%s' выставлена из %d предложения сценария (модель %s)"
215  "Модель %s вызвана из модели %s"
216  "Выводится цель '%s'"
217  "Правило %s применяется для вычисления цели"
218  "Насколько Вы уверены в том, что %s ?"
219  "Каково значение числового атрибута %s ?"
220  "Каково значение атрибута %s ?"
221  "ПРЕДЛОЖЕНИЕ = %d"
222  "Выполняется предложение %d сценария"
223  "Условие для предложения %d: "
224  "*************** Вход в подмодель %s"
225  "*************** Завершение подмодели %s"
226  "* Загружается контрольная точка %s"
227  "* Создана контрольная точка %s"
228  "Переполнение!"
229  "Выставлена цель '%s'"
230  "Цель '%s' равна %.2f"
231  "Рассматривается правило %s"
232  "Условие применимости правила %s: %.2f"
233  "Правило %s не применимо"
234  "Применяется правило %s"
235  "Результат выполнения действия для правила %s: "
236  "получает значение %.2f"
237  "вычисляется значение атрибута '%s' для вывода цели '%s'"
300  "ЦЕЛЬ"
301  "СООБЩЕНИЕ"
302  "ПЕРЕХОД"
303  "СБРОС"
304  "СБРОС_ВЫВОДА"
305  "СТОП"
306  "РЕЗУЛЬТАТ"
307  "ПРИЕМ"
308  "ВОЗВРАТ"
309  "ВЫПОЛНИТЬ"
310  "АРГУМЕНТЫ"
311  "ЗАДАЧА"
312  "ЗАГРУЗИТЬ_ТОЧКУ"
313  "СДЕЛАТЬ_ТОЧКУ"
314  "ВЫХОД"
315  "СДЕЛАТЬ_ТОЧКУ_ВЫХОД"
316  "НАСТРОЙКА"
317  "СБРОС_КРОМЕ"
318  "ПЕРВЫЙ_РЕЗУЛЬТАТ"
500  "ЗАПИСЬ ПУСТОГО ПОЛЯ"
501  "ПАМЯТЬ ПОД МОДЕЛЬ ИСЧЕРПАНА"
502  "ПРЕВЫШЕНА ДОПУСТИМАЯ ДЛИНА СПИСКА"
503  "НЕПРАВИЛЬНЫЙ ОПЕРАТОР"
504  "ОШИБКА В ИМЕНИ"
505  "СЛЕДОВАЛО УКАЗАТЬ ЦЕЛЬ"
506  "НЕДОПУСТИМЫЙ СИМВОЛ"
507  "СЛЕДОВАЛО УКАЗАТЬ ПАРАМЕТРЫ"
508  "НЕПРАВИЛЬНОЕ КОЛИЧЕСТВО ПАРАМЕТРОВ"
509  "СЛЕДОВАЛО УКАЗАТЬ ЧИСЛО ИЛИ ПРОСТУЮ ЦЕЛЬ"
510  "ПРЕВЫШЕНА ДОПУСТИМАЯ ДЛИНА ВЫРАЖЕНИЯ"
511  "ОШИБКА В ОБРАЩЕНИИ К ФУНКЦИИ"
512  "НЕПРАВИЛЬНЫЙ ТИП ПРАВИЛА"
513  "СИНТАКСИЧЕСКАЯ ОШИБКА В ВЫРАЖЕНИИ"
514  "НЕПРАВИЛЬНОЕ КОЛИЧЕСТВО ПАРАМЕТРОВ ФУНКЦИИ"
515  "ВВЕДЕНО ПРЕДЕЛЬНО ДОПУСТИМОЕ КОЛИЧЕСТВО ЭЛЕМЕНТОВ"
516  "ДУБЛИРОВАНИЕ ИМЕН НЕ ДОПУСКАЕТСЯ"
517  "ВВЕДЕННОЕ АПРИОРНОЕ ЗНАЧЕНИЕ ВНЕ ДОПУСТИМОГО ДИАПАЗОНА"
518  "НЕВЕРНО ЗАДАН ДИАПАЗОН ВОЗМОЖНЫХ ЗНАЧЕНИЙ"
519  "К СПЕЦИАЛЬНОМУ АТРИБУТУ МОЖНО ОПРЕДЕЛИТЬ ТОЛЬКО ОДИН ПРОСТОЙ ВОПРОС"
520  "НЕЛЬЗЯ УНИЧТОЖАТЬ ЧАСТЬ СЛОЖНОГО ВОПРОСА"
521  "К ЭТОЙ ЦЕЛИ ПРАВИЛА НЕ ОПРЕДЕЛЕНЫ"
522  "НЕ ОПРЕДЕЛЕН СЛОЖНЫЙ ВОПРОС"
523  "ОШИБКА: УНИЧТОЖЕНА ЧАСТЬ СЛОЖНОГО ВОПРОСА"
524  "СЛОЖНЫЙ ВОПРОС УЖЕ ОПРЕДЕЛЕН"
525  "ДОЛЖНО БЫТЬ ЗАДАНО СООБЩЕНИЕ"
526  "ПРЕВЫШЕНА ДОПУСТИМАЯ ДЛИНА СООБЩЕНИЯ"
527  "УРОВЕНЬ ВЫДАЧИ ДОЛЖЕН БЫТЬ В ИНТЕРВАЛЕ ОТ -5.0 ДО 5.0"
